"description","teamname","shotdistance","makeormiss","timer","game"
"Dario Saric misses 3-pt jump shot from 28 ft (PHI 120, DET 120)","PHI",28.5,1.5,1.4,"DETPHI"
"Damian Lillard misses 3-pt jump shot from 25 ft (POR 108, WAS 108)","POR",22.3,1.5,22.5,"PORWAS"
"Jusuf Nurkic misses 2-pt layup from 3 ft (block by Kelly Oubre) (POR 108, WAS 108)","POR",3.3,1.5,18.3,"PORWAS"
"Nik Stauskas makes 3-pt jump shot from 23 ft (assist by Damian Lillard) (POR 111, WAS 108)","POR",23.3,5,13.6,"PORWAS"
"Bradley Beal makes 3-pt jump shot from 25 ft (assist by John Wall) (WAS 111, POR 111)","WAS",26.3,5,7.4,"PORWAS"
"Jusuf Nurkic misses 2-pt layup from 2 ft (POR 111, WAS 111)","POR",2.3,1.5,0.4,"PORWAS"
"Damian Lillard misses 2-pt layup from 1 ft (block by Bradley Beal) (POR 111, WAS 111)","POR",1.3,1.5,0.2,"PORWAS"
"LeBron James makes 3-pt jump shot from 28 ft (LAL 128, SAS 128)","LAL",3.3,5,3.2,"SASLAL"
"DeMar DeRozan misses 3-pt jump shot from 26 ft (SAS 128, LAL 128)","SAS",26.3,1.5,1.5,"SASLAL"
"Kyrie Irving misses 3-pt jump shot from 24 ft (BOS 90, ORL 93)","BOS",24.7,1.5,5.7,"ORLBOS"
"Gordon Hayward misses 3-pt jump shot from 26 ft (BOS 90, ORL 93)","BOS",26.7,1.5,1.5,"ORLBOS"
"Damian Jones misses 2-pt layup from 3 ft (block by Juan Hernangomez) (GSW 98, DEN 100)","GSW",3.5,1.5,2.5,"GSWDEN"
"J.J. Redick makes 3-pt jump shot from 27 ft (assist by Joel Embiid) (PHI 116, ORL 114)","PHI",27.4,5,17.3,"PHIORL"
"Terrence Ross misses 3-pt jump shot from 27 ft (ORL 115, PHI 116)","ORL",27.9,1.5,2.5,"PHIORL"
"Dwyane Wade misses 3-pt jump shot from 25 ft (MIA 110, CHO 112)","MIA",25.5,1.5,13.4,"MIACHO"
"Dwyane Wade makes 2-pt layup from 1 ft (MIA 112, CHO 112)","MIA",1.3,2.5,12.3,"MIACHO"
"Dennis Smith makes 2-pt jump shot from 20 ft (DAL 136, MIN 134)","DAL",20.6,1.5,6.3,"DALMIN1"
"Zach LaVine makes 3-pt jump shot from 26 ft (CHI 116, DET 116)","CHI",26.3,5,24.3,"CHIDET"
"Ish Smith makes 2-pt layup from 2 ft (DET 118, CHI 116)","DET",2.3,2.5,5.2,"CHIDET"
"Kevin Durant misses 2-pt jump shot from 14 ft (GSW 122, UTA 123)","GSW",14.5,1.5,2.4,"UTAGSW"
"Donovan Mitchell misses 3-pt jump shot from 23 ft (UTA 123, GSW 124)","UTA",23.3,1.5,0.4,"UTAGSW"
"Jonas Jerebko makes 2-pt layup from 1 ft (GSW 124, UTA 123)","GSW",1.3,2.5,0.9,"UTAGSW"
"Caris LeVert makes 2-pt layup from 2 ft (BRK 107, NYK 105)","BRK",2.5,2.5,1.9,"BRKNYK"
"Tim Hardaway misses 3-pt jump shot from 30 ft (NYK 105, BRK 107)","NYK",30.5,1.5,0.9,"BRKNYK"
"Dwyane Wade misses 2-pt jump shot from 22 ft (MIA 111, WAS 112)","MIA",22.4,1.5,3.9,"MIAWAS"
"Kelly Olynyk makes 2-pt layup from 3 ft (MIA 113, WAS 112)","MIA",3.6,2.5,0.5,"MIAWAS"
"Derrick Rose misses 2-pt layup from 3 ft (MIN 108, SAS 110)","MIN",3.6,1.5,16.4,"MINSAS"
"Rodney McGruder misses 3-pt jump shot from 53 ft (MIA 101, ORL 104)","MIA",49.9,1.5,0.4,"MIAORL"
"Joe Harris misses 3-pt jump shot from 27 ft (BRK 100, DET 103)","BRK",27.9,1.5,3.7,"BRKDET"
"Kemba Walker misses 2-pt layup from 3 ft (CHO 112, MIL 113)","CHO",3.5,1.5,3.9,"CHOMIL"
"Nicolas Batum misses 3-pt jump shot from 26 ft (CHO 112, MIL 113)","CHO",26.4,1.5,0.9,"CHOMIL"
