"description","teamname","shotdistance","makeormiss","timer","game"
"Donovan Mitchell misses 2-pt jump shot from 13 ft (UTA 112, NOP 113)","Utah Jazz",13.9,1,3.1,"UTANOP"
"Jamal Murray misses 3-pt jump shot from 27 ft (DEN 103, SAS 104)","Denver Nuggets",27.9,3,16.1,"DENSAS"
"Jamal Murray misses 2-pt jump shot from 9 ft (DEN 103, SAS 104)","Denver Nuggets",9.6,1,11.1,"DENSAS"
"Gary Harris misses 2-pt jump shot from 20 ft (DEN 103, SAS 104)","Denver Nuggets",20.6,1,4.1,"DENSAS"
"Delon Wright misses 3-pt jump shot from 23 ft (MEM 93, OKC 95)","Memphis Grizzlies",23.6,3,23.1,"OKCMEM"
"Marc Gasol misses 2-pt jump shot from 21 ft (TOR 100, DET 100)","Toronto Raptors",21.6,1,1.4,"DETTOR"
"Kris Dunn misses 3-pt jump shot from 27 ft (CHI 117, ATL 120)","Chicago Bulls",27.6,3,21.4,"ATLCHI"
"Lauri Markkanen misses 3-pt jump shot from 25 ft (CHI 117, ATL 120)","Chicago Bulls",25.6,3,11.5,"ATLCHI"
"CJ McCollum misses 3-pt jump shot from 26 ft (POR 114, TOR 115)","Portland Blazers",26.6,3,23.1,"PORTOR"
"Kawhi Leonard makes 2-pt jump shot from 12 ft (TOR 119, POR 117)","Toronto Raptors",12.6,8,3.7,"PORTOR"
"Damian Lillard misses 3-pt jump shot from 70 ft (POR 117, TOR 119)","Portland Blazers",49.6,3,1.7,"PORTOR"
"Otto Porter makes 2-pt layup from 2 ft (CHI 121, ATL 121)","Chicago Bulls",2.6,8,24.0,"ATLCHI"
"Trae Young makes 3-pt jump shot from 26 ft (ATL 124, CHI 121)","Atlanta Hawks",26.6,10,3.0,"ATLCHI"
"Dion Waiters misses 3-pt jump shot from 26 ft (MIA 118, HOU 121)","Miami Heat",26.9,3,8.4,"MIAHOU"
"Eric Bledsoe makes 2-pt layup from 5 ft (MIL 126, SAC 126)","Milwuakee Bucks",5.9,8,11.2,"MILSAC"
"Kelly Olynyk misses 3-pt jump shot from 26 ft (MIA 120, GSW 122)","Miami Heat",26.9,3,18.2,"GSWMIA"
"Dwyane Wade misses 3-pt jump shot from 28 ft (block by Jordan Bell) (MIA 123, GSW 125)","Miami Heat",28.9,3,1.2,"GSWMIA"
"Dwyane Wade makes 3-pt jump shot from 25 ft (MIA 126, GSW 125)","Miami Heat",25.3,10,0.9,"GSWMIA"
"Justin Holiday misses 3-pt jump shot from 27 ft (MEM 102, CHI 105)","Memphis Grizzlies",27.3,3,20.9,"CHIMEM"
"Kemba Walker misses 3-pt jump shot from 27 ft (CHO 113, HOU 116)","Charlotte Bobcats",27.3,3,16.7,"HOUCHO"
"Trae Young makes 2-pt jump shot from 8 ft (assist by Vince Carter) (ATL 118, MIN 118)","Atlanta Hawks",8.3,8,20.1,"MINATL"
"Derrick Rose misses 2-pt jump shot from 13 ft (MIN 118, ATL 118)","Minnesota TWolves",13.3,3,0.1,"MINATL"
"E'Twaun Moore misses 3-pt jump shot from 25 ft (NOP 110, PHI 111)","New Orleans Pelicans",25.3,3,2.1,"NOPPHI"
"Kelly Olynyk makes 2-pt jump shot from 22 ft (assist by Dwyane Wade) (MIA 121, PHO 120)","Miami Heat",22.4,8,18.1,"PHOMIA"
"Dwyane Wade misses 2-pt jump shot from 16 ft (MIA 121, PHO 122)","Miami Heat",16.3,3,3.1,"PHOMIA"
"Bam Adebayo misses 2-pt layup from 1 ft (MIA 121, PHO 122)","Miami Heat",1.3,1,2.1,"PHOMIA"
"Dwyane Wade misses 3-pt jump shot from 52 ft (MIA 121, PHO 124)","Miami Heat",49.9,3,1.1,"PHOMIA"
"Thomas Bryant misses 3-pt jump shot from 26 ft (WAS 112, IND 115)","Washington Wizards",26.7,3,14.1,"INDWAS"
"Jerami Grant misses 3-pt jump shot from 23 ft (OKC 116, SAC 118)","OKC Thunder",23.7,3,17.1,"SACOKC"
"Paul George misses 3-pt jump shot from 30 ft (OKC 116, SAC 119)","OKC Thunder",30.7,3,.6,"SACOKC"
"Kemba Walker misses 3-pt jump shot from 25 ft (block by Caris LeVert) (CHO 115, BRK 117)","Charlotte Hornets",25.7,3,.5,"BRKCHO"
"Kawhi Leonard makes 2-pt dunk from 2 ft (TOR 118, SAS 117)","Toronto Raptors",2.7,8,15.5,"SASTOR"
"Davis Bertans misses 2-pt jump shot from 14 ft (SAS 117, TOR 118)","San Antonio Spurs",14.7,3,2.5,"SASTOR"
"Marco Belinelli misses 3-pt jump shot from 29 ft (SAS 117, TOR 120)","San Antonio Spurs",29.4,3,0.5,"SASTOR"
"Zach LaVine misses 2-pt jump shot from 21 ft (CHI 106, ORL 106)","Chicago Bulls",21.3,1,11.5,"CHIORL"
"Robin Lopez makes 2-pt layup from 3 ft (CHI 108, ORL 106)","Chicago Bulls",3.3,8,8.3,"CHIORL"
"Evan Fournier makes 3-pt jump shot from 25 ft (assist by Aaron Gordon) (ORL 109, CHI 108)","Orlando Magic",25.3,10,7.1,"CHIORL"
"Donovan Mitchell misses 2-pt layup from 7 ft (block by Jerami Grant) (UTA 129, OKC 129)","Utah Jazz",7.3,1,10.1,"OKCUTA"
"Russell Westbrook misses 3-pt jump shot from 25 ft (OKC 129, UTA 129)","OKC Thunder",25.3,3,0.1,"OKCUTA"
"Thon Maker makes 3-pt jump shot from 23 ft (assist by Reggie Jackson) (DET 125, ATL 122)","Detroit Pistons",23.7,10,17.1,"DETATL"
"Trae Young misses 3-pt jump shot from 32 ft (ATL 122, DET 125)","Atlanta Hawks",32.7,3,10.1,"DETATL"
"Vince Carter misses 3-pt jump shot from 25 ft (ATL 122, DET 125)","Atlanta Hawks",25.7,3,5.1,"DETATL"
"Kyrie Irving misses 2-pt layup from 4 ft (BOS 97, MIL 98)","Boston Celtics",4.4,1,0.1,"MILBOS"
"Buddy Hield misses 2-pt jump shot from 12 ft (SAC 123, GSW 125)","Sacramento Kings",12.4,1,2.1,"SACGSW"
"Buddy Hield makes 2-pt layup from 2 ft (SAC 118, DEN 118)","Sacramento Kings",2.3,8,15.1,"SACDEN"
"Buddy Hield misses 3-pt jump shot from 26 ft (SAC 118, DEN 120)","Sacramento Kings",26.3,3,0.6,"SACDEN"
"Nikola Jokic makes 2-pt layup from 1 ft (DEN 120, SAC 118)","Denver Nuggets",1.3,8,0.3,"SACDEN"
"Caris LeVert misses 3-pt jump shot from 25 ft (BRK 109, CLE 109)","Brooklyn Nets",25.3,3,1.3,"BRKCLE"
"DeMarre Carroll misses 2-pt jump shot from 10 ft (BRK 109, CLE 109)","Brooklyn Nets",10.3,1,0.5,"BRKCLE"
"Tobias Harris misses 3-pt jump shot from 25 ft (PHI 107, BOS 110)","Philadelphia Sixers",25.3,3,6.7,"PHIBOS"
